userid;campaignid;datetime;action
05;2018-10-05;2018-09-30 06:34:12;open
18;2018-10-05;2018-09-29 23:51:07;open
14;2018-10-05;2018-09-29 21:53:01;open
19;2018-10-05;2018-09-29 14:27:40;open
19;2018-10-05;2018-09-29 14:27:37;open
19;2018-10-05;2018-09-29 14:27:34;open
14;2018-10-05;2018-09-29 12:36:53;open
11;2018-10-05;2018-09-29 07:49:09;open
16;2018-10-05;2018-09-29 02:25:03;open
03;2018-10-05;2018-09-29 01:39:45;click
03;2018-10-05;2018-09-29 01:39:44;open
03;2018-10-05;2018-09-29 01:39:40;open
03;2018-10-05;2018-09-29 01:39:38;open
24;2018-10-05;2018-09-29 01:03:15;click
24;2018-10-05;2018-09-29 01:01:56;open
24;2018-10-05;2018-09-29 01:01:53;open
08;2018-09-14;2018-09-21 16:44:34;click
08;2018-09-14;2018-09-21 16:44:30;click
08;2018-09-14;2018-09-21 16:44:25;click
08;2018-09-14;2018-09-21 16:35:36;click
08;2018-09-14;2018-09-21 16:34:53;click
08;2018-09-14;2018-09-21 16:18:57;click
18;2018-09-14;2018-09-19 10:39:17;open
19;2018-09-14;2018-09-19 05:25:25;open
19;2018-09-14;2018-09-19 05:25:21;open
15;2018-09-14;2018-09-18 18:05:47;open
15;2018-09-14;2018-09-18 18:05:05;open
17;2018-09-14;2018-09-18 15:31:41;open
10;2018-09-14;2018-09-17 10:36:36;click
25;2018-09-14;2018-09-17 10:23:18;open
25;2018-09-14;2018-09-17 10:22:11;click
25;2018-09-14;2018-09-17 10:22:06;click
25;2018-09-14;2018-09-17 10:21:45;open
25;2018-09-14;2018-09-17 10:21:42;open
21;2018-09-14;2018-09-17 08:39:29;open
21;2018-09-14;2018-09-17 08:38:58;open
13;2018-09-14;2018-09-17 03:21:44;open
13;2018-09-14;2018-09-17 03:21:41;open
11;2018-09-14;2018-09-16 12:12:51;open
01;2018-09-14;2018-09-15 19:49:54;open
17;2018-09-14;2018-09-15 11:12:03;click
17;2018-09-14;2018-09-15 11:11:19;click
17;2018-09-14;2018-09-15 11:07:33;click
17;2018-09-14;2018-09-15 11:07:09;open
17;2018-09-14;2018-09-15 11:07:03;open
19;2018-09-14;2018-09-15 09:39:07;open
19;2018-09-14;2018-09-15 09:39:05;open
14;2018-09-14;2018-09-15 08:11:59;open
09;2018-09-14;2018-09-15 05:43:24;open
01;2018-09-14;2018-09-15 01:12:26;open
24;2018-09-14;2018-09-15 00:17:22;open
03;2018-08-31;2018-09-12 20:45:13;open
03;2018-08-31;2018-09-12 20:45:10;open
01;2018-08-17;2018-09-11 10:04:06;open
01;2018-08-17;2018-09-09 21:53:23;open
01;2018-08-17;2018-09-09 21:52:59;open
08;2018-08-31;2018-09-04 09:49:34;click
08;2018-08-31;2018-09-04 09:48:35;open
18;2018-08-31;2018-09-03 19:54:29;open
04;2018-08-31;2018-09-03 13:21:12;open
21;2018-08-31;2018-09-03 11:18:44;open
10;2018-08-31;2018-09-03 10:33:37;click
10;2018-08-31;2018-09-03 10:33:12;click
10;2018-08-31;2018-09-03 10:33:07;click
25;2018-08-31;2018-09-03 10:21:50;open
25;2018-08-31;2018-09-03 10:20:40;open
08;2018-08-31;2018-09-03 08:40:27;click
08;2018-08-31;2018-09-03 08:40:12;click
01;2018-01-12;2018-09-02 22:39:36;open
01;2018-01-12;2018-09-02 21:50:46;open
25;2018-08-31;2018-09-01 17:26:36;open
14;2018-08-31;2018-09-01 12:06:48;click
14;2018-08-31;2018-09-01 12:06:19;open
11;2018-08-31;2018-09-01 09:55:57;open
18;2018-08-31;2018-09-01 06:46:11;open
03;2018-08-31;2018-09-01 05:13:39;open
09;2018-08-31;2018-09-01 02:55:44;open
13;2018-08-31;2018-09-01 00:04:16;click
13;2018-08-31;2018-09-01 00:03:48;open
16;2018-08-31;2018-08-31 22:35:50;open
04;2018-08-17;2018-08-31 13:44:21;click
04;2018-08-17;2018-08-31 13:44:15;open
01;2018-01-12;2018-08-31 01:27:25;click
01;2018-01-12;2018-08-31 01:26:43;click
01;2018-01-12;2018-08-31 01:26:27;click
01;2018-01-12;2018-08-31 01:21:50;click
01;2018-01-12;2018-08-31 01:21:43;open
02;2018-08-17;2018-08-29 14:18:39;open
01;2018-08-17;2018-08-28 21:29:49;click
01;2018-08-17;2018-08-28 21:29:15;click
01;2018-08-17;2018-08-28 21:26:49;open
15;2018-08-17;2018-08-23 01:21:28;open
08;2018-08-17;2018-08-22 16:39:13;click
08;2018-08-17;2018-08-22 16:38:43;open
08;2018-08-17;2018-08-22 12:05:27;open
23;2017-11-24;2018-08-21 16:00:06;click
23;2017-11-24;2018-08-21 15:58:46;click
23;2017-11-24;2018-08-21 15:58:00;click
23;2017-11-24;2018-08-21 15:57:53;open
23;2017-10-13;2018-08-21 15:40:22;open
23;2017-11-03;2018-08-21 15:30:52;open
23;2017-11-17;2018-08-21 15:30:42;open
23;2018-01-12;2018-08-21 15:30:26;open
23;2018-03-02;2018-08-21 15:30:07;open
23;2018-07-20;2018-08-21 15:21:40;click
23;2018-07-20;2018-08-21 15:10:42;click
23;2018-07-20;2018-08-21 15:10:32;open
23;2018-08-17;2018-08-21 15:05:38;click
23;2018-08-17;2018-08-21 14:53:11;click
23;2018-08-17;2018-08-21 14:52:27;open
23;2018-06-29;2018-08-21 11:02:11;open
22;2018-08-17;2018-08-20 15:00:33;open
25;2018-08-17;2018-08-20 11:56:08;open
10;2018-08-17;2018-08-20 10:12:17;click
10;2018-08-17;2018-08-20 10:11:58;click
10;2018-08-17;2018-08-20 10:11:40;click
10;2018-08-17;2018-08-20 10:11:37;click
18;2018-08-17;2018-08-19 10:43:58;open
01;2018-08-17;2018-08-19 00:02:14;open
09;2018-08-17;2018-08-18 11:03:09;open
18;2018-08-17;2018-08-18 07:43:46;open
03;2018-08-17;2018-08-18 00:43:19;open
03;2018-08-17;2018-08-18 00:43:13;open
14;2018-08-17;2018-08-17 23:30:37;click
14;2018-08-17;2018-08-17 23:30:05;open
16;2018-08-17;2018-08-17 19:24:31;click
16;2018-08-17;2018-08-17 19:21:32;click
16;2018-08-17;2018-08-17 19:21:11;open
01;2018-08-17;2018-08-17 19:15:02;open
01;2018-08-17;2018-08-17 19:14:57;click
13;2018-08-17;2018-08-17 19:12:44;open
01;2018-08-17;2018-08-17 19:10:52;open
01;2018-08-17;2018-08-17 19:10:49;open
01;2018-08-17;2018-08-17 19:10:47;open
06;2018-08-17;2018-08-17 18:09:51;open
15;2018-07-13;2018-08-11 18:57:09;open
18;2018-06-29;2018-07-30 13:18:19;open
18;2018-06-29;2018-07-30 13:18:16;open
01;2018-01-12;2018-07-25 01:04:34;click
01;2018-03-02;2018-07-25 01:04:26;open
01;2018-01-12;2018-07-25 01:04:22;click
01;2018-01-12;2018-07-25 01:04:07;click
01;2018-01-12;2018-07-25 01:04:00;click
01;2018-01-12;2018-07-25 01:03:50;open
01;2018-05-11;2018-07-25 01:03:35;open
01;2018-03-02;2018-07-25 01:03:15;click
01;2018-03-02;2018-07-25 01:02:58;click
01;2018-03-02;2018-07-25 01:02:28;open
01;2018-05-11;2018-07-25 01:02:12;open
01;2018-04-27;2018-07-25 01:01:55;click
01;2018-04-27;2018-07-25 01:01:39;open
01;2018-04-06;2018-07-25 01:01:27;click
01;2018-04-06;2018-07-25 01:00:53;click
01;2018-04-06;2018-07-25 01:00:38;open
01;2018-06-01;2018-07-25 00:57:52;click
01;2018-06-01;2018-07-25 00:57:37;open
01;2018-06-22;2018-07-25 00:57:19;click
01;2018-06-22;2018-07-25 00:57:07;open
01;2018-06-22;2018-07-25 00:56:53;click
01;2018-06-22;2018-07-25 00:56:43;open
01;2018-06-29;2018-07-25 00:56:24;click
01;2018-06-29;2018-07-25 00:56:09;click
01;2018-06-29;2018-07-25 00:55:55;open
01;2018-07-13;2018-07-25 00:55:38;open
01;2018-07-20;2018-07-25 00:55:13;click
01;2018-07-20;2018-07-25 00:54:56;open
08;2018-07-20;2018-07-24 16:11:52;open
06;2018-07-20;2018-07-23 15:21:32;open
21;2018-07-20;2018-07-23 12:11:02;open
25;2018-07-20;2018-07-23 11:12:56;click
25;2018-07-20;2018-07-23 11:12:48;open
10;2018-07-20;2018-07-23 10:31:49;click
10;2018-07-20;2018-07-23 10:31:45;click
08;2018-07-20;2018-07-23 09:03:19;click
08;2018-07-20;2018-07-23 09:03:12;click
08;2018-07-20;2018-07-23 09:02:12;click
08;2018-07-20;2018-07-23 08:58:25;click
08;2018-07-20;2018-07-23 08:56:27;click
08;2018-07-20;2018-07-23 08:50:42;click
08;2018-07-20;2018-07-23 08:50:28;open
08;2018-07-20;2018-07-23 08:48:23;click
18;2018-07-20;2018-07-23 08:16:34;open
18;2018-07-20;2018-07-23 08:16:31;open
01;2018-07-20;2018-07-21 18:38:57;click
01;2018-07-20;2018-07-21 18:02:18;click
01;2018-07-20;2018-07-21 18:02:06;open
04;2018-07-20;2018-07-21 13:02:54;click
14;2018-07-20;2018-07-21 08:39:21;open
24;2018-07-20;2018-07-21 06:41:20;open
09;2018-07-20;2018-07-21 05:02:44;open
03;2018-07-20;2018-07-20 23:23:37;open
16;2018-07-20;2018-07-20 23:09:27;open
03;2018-07-20;2018-07-20 22:57:59;click
03;2018-07-20;2018-07-20 22:57:53;open
13;2018-07-20;2018-07-20 22:54:31;open
16;2018-07-20;2018-07-20 22:43:25;open
16;2018-07-20;2018-07-20 22:41:39;open
11;2018-07-13;2018-07-19 13:28:57;open
11;2018-07-13;2018-07-19 10:28:51;open
03;2018-07-13;2018-07-17 15:40:22;open
15;2018-07-13;2018-07-16 23:16:47;open
08;2018-07-13;2018-07-16 09:39:56;click
08;2018-07-13;2018-07-16 09:39:30;open
25;2018-07-13;2018-07-16 09:07:34;open
20;2018-07-13;2018-07-16 09:06:02;click
20;2018-07-13;2018-07-16 09:05:45;click
21;2018-07-13;2018-07-16 08:57:13;open
03;2018-07-13;2018-07-16 05:12:47;open
19;2018-07-13;2018-07-16 00:21:51;open
15;2018-07-13;2018-07-15 23:37:52;open
15;2018-06-29;2018-07-14 18:27:59;open
15;2018-07-13;2018-07-14 18:27:12;open
